"","ID","Name.in.English","Name.in.French","Name.in.Spanish","Countries","Country.codes.alpha.3","ISO639.3.codes","Degree.of.endangerment","Alternate.names","Name.in.the.language","Number.of.speakers","Sources","Latitude","Longitude","Description.of.the.location","Country","Region","City"
"13",349,"Emilian-Romagnol","émilien-romagnol","emiliano","Italy, San Marino","ITA, SMR","eml","Definitely endangered","","",2000000,"",44,12,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino","SM","",""
"14",399,"Piedmontese","piémontais","piamontés","Italy","ITA","pms","Definitely endangered","","",2000000,"",45,8,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas","IT","12","Santhi�"
"15",1021,"Venetan","vénitien","veneciano","Croatia, Italy, Slovenia","HRV, ITA, SVN","vec","Vulnerable","","",2000000,"http://www.elgalepin.com/",45,12,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia","IT","20","Este"
"16",1985,"Zazaki","zazaki","zaza","Turkey","TUR","zza","Vulnerable","Zaza; Dimli; Kirmanjki","",2000000,"Ludwig Paul: Zazaki: Grammatik und Versuch einer Dialektologie. Beiträge zur Iranistik 18; Wiesbaden: Reichert, 1998.
http://www.ethnologue.com/show_language.asp?code=zza
http://www.zazaki.de/englisch/index.htm

",39,40,"Tunceli, Erzincan, Elazığ and Bingöl provinces, Hınıs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muş Province, Sarız district of Kayseri Province, the northern and western parts of Diyarbakır Province, Siverek district of Şanlıurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe.","TR","62","Peri"
"17",1591,"Kurux (India)","kurux (Inde)","kuruj (India)","India","IND","kru","Vulnerable","Kurukh; Oraon","",1751489,"",22,85,"Jharkhand and Bihar","IN","21","Raurkela"
"18",2065,"Tamajeq","tamajeq","tamacheq tahoua","Niger","NER","thz","Vulnerable","","",1750000,"Tuareg organisations (eg Temoust, Lyon see websites)
Data presented numerous times at UN Commission / Council for Human Rights",17,8,"","NE","1","Agadez"
"19",1585,"Tulu","tulu","tulú","India","IND","tcy","Vulnerable","Tuluva Bhasa; Tullu; Thulu; Tal; Tilu; Thalu
","",1722768,"",12,76,"Karnataka, Andhra Pradesh, Kerala","IN","19","Hunsur"
"20",1556,"Kangdi","Kangdi","kangdi","India","IND","xnr","Definitely endangered","Dogaryali; Dogri Pahari;  Tokkaru; Dogri-Kangra; Bhatbali; Bhatbali; East Dogri; Kangri; Kangra","",1700000,"",32,76,"Himachal Pradesh","IN","11","Bhawan"
"21",410,"Scots","scots","escocés","United Kingdom of Great Britain and Northern Ireland","GBR","sco","Vulnerable","Lallans; Northumbrian (local name in England)","",1500000,"",56,-4,"Lowland Scotland and adjacent parts of England; émigré communities in Ireland","GB","W6","Stirling"
"22",1026,"Torlak","torlak","torlak","Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp","Vulnerable","Shop; dialects: Goran, Janjev, Krashovan","",1500000,"",43,22,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat","RS","2","Vranje"
"23",1476,"West Flemish","flamand occidental","flamenco occidental","Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea","Vulnerable","Western Flemish; Zeelandic (Zeêuws)","",1500000,"Devos, M.& Vandekerckhove, R. (2006). Taal in stad en land WEST-VLAAMS, Lannoo, 170 pp.
Streektaal.net http://taal.phileon.nl/index.php
",51,3,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered","BE","9","Zwevegem"
"24",334,"Bashkir","bachkir","baskir","Russian Federation","RUS","bak","Vulnerable","Bashkort","",1379727,"А. А. Юлдашев: Башкирский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 206–216.",55,56,"the Republic of Bashkortostan and adjacent regions","RU","8","Birsk"
"25",1067,"Chechen","tchétchène","checheno","Russian Federation","RUS","che","Vulnerable","","",1331844,"",43,46,"the Republic of Chechenia and adjacent regions","RU","CI","Pervomayskaya"
"26",338,"Chuvash","tchouvache","chuvacho","Russian Federation","RUS","chv","Vulnerable","","",1325382,"И. А. Андреев: Чувашский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 480–491.",56,47,"Chuvash Republic and adjacent regions","RU","16","Cheboksary"
"27",1227,"Meithei","meitei","mitei","India","IND","mni","Vulnerable","Manipuri, Meitei","",1250000,"",25,94,"Manipur (throughout, but concentrated in the Manipur valley)
 ","IN","17","Imphal"
"28",1114,"Tamang","tamang","tamang","India, Nepal","IND, NPL","taj, tge, tmk, tsf, tdg","Vulnerable","तामाङ; तामाङ्ग; Murmi (obsolete)","",1196639,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28,86,"Dispersed throughout central and eastern hills of Nepal. Bāgmatī, Nārāyaṇī and Janakpur zones, in Kābhrepālañcok, Makvānpur, SIndhupālcok, Nuvākoṭ, Dhādiṅ, Sindhulī, Rāmechāp, Bagmatī, Dolakhā and Rasuvā districts. Also found in India (Sikkim).","NP","0","Banepa"
"29",1013,"Quechua of Cuzco","quechua de Cuzco","quechua cuzqueño","Peru","PER","quz","Vulnerable","Quechua Cuzco-Collao","",1115000,"",-13,-72,"Cuzco, partes de  Arequipa, Puno, Apurímac (Abancay), Moquegua (Ubinas).","PE","8","Anta"
"30",1024,"Eastern Slovak","slovaque oriental","eslovaco oriental","Slovakia, Ukraine","SVK, UKR","slk","Vulnerable","","",1000000,"Aleksandr D. Duličenko: Ostslowakisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 355–358.",49,22,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL","SK","3","Nov� Mesto"
"31",377,"Ligurian","ligurien","ligur","France, Italy, Monaco","FRA, ITA, MCO","lij","Definitely endangered","Monégasque (dialect)","",1000000,"",45,9,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France","IT","9","Milan"
"32",407,"Rusyn","ruthène","rutenio","Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR","rue","Vulnerable","Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian","",1000000,"Русиньскый язык. Redaktor naukowy Paul Robert Magocsi. Opole: Uniwersytet Opolski, Instytut Filologii Polskej, 2004. || Marc Stegherr: Rusinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 399–408. || Encyclopedia of Rusyn history and culture. Paul Robert Magocsi and Ivan Pop, editors. Toronto: University of Toronto Press, 2002.",48,23,"Trans-Carpathian region of Ukraine","RO","32","Satu Mare"
"33",1515,"Talysh","talysh","talisí","Azerbaijan, Iran (Islamic Republic of)","AZE, IRN","tly","Vulnerable","","",1000000,"",39,49,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan","AZ","30","L�nk�ran"
"34",1577,"Kui","kui","kui","India","IND","kxu","Vulnerable","Kuy; Kandh; Khondi; Khond(o); Kodu; Kanda; Kodulu
","",916222,"",20,84,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh","IN","21","Kalinga"
"35",1231,"Khasi","khasi","jasí","India","IND","kha","Vulnerable","","",912000,"",26,92,"eastern half of Meghalaya","IN","3","Guwahati"
"36",1229,"Bodo","bodo","bodo","India","IND","brx","Vulnerable","Boro, Kachari","",900000,"",27,93,"north bank of the Brahmaputra, Sonitpur and Darrang districts","IN","3","Tezpur"
"37",337,"Campidanese","campidanien","sardo campidanés","Italy","ITA","sro","Definitely endangered","Campidanese Sardinian","",900000,"",39,9,"southern Sardinia","IT","14","Cagliari"
"38",1803,"K'iche' (Guatemala)","k’iche' (Guatemala)","quiché (Guatemala)","Guatemala","GTM","quc","Vulnerable","Chiquel, Cachbel, Chuil quiché, cunenteco, Cantel Quiché, Quiché","",890596," XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations.",15,-91,"Among the localities listed in the Ethnologue: El Quiché dept., Quetzaltenango, Cunén, Chichicastenango, Joyabaj, San Andrés Sajeabajá, Atitlán in Quetzaltenango dept.; Totinicapán dept, Santa Cruz Quiché","GT","7","Guatemala City"
"39",989,"Quechua of Ayacucho","quechua d'Ayacucho","quechua de Ayacucho","Peru","PER","quy","Definitely endangered","Quechua Ayacucho-Chanka. Chanka (Quechua).","",850000,"",-13,-74,"Departamentos de Ayacucho, Huancavelica y partes de  Apurimac y Arequipa.","PE","5","Ayacucho"
"40",1117,"Newar","newar","nevarí","Nepal","NPL","new","Definitely endangered","नेवार; Nepal Bhasa; Newari","",825458,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28,85,"Kathmandu valley","NP","0","Kathmandu"
"41",2222,"Mon","môn","mon","Myanmar, Thailand","MMR, THA","mnw","Vulnerable","Talaing","",800000,"",16,98,"","MM","13","Mawlamyine"
"42",1523,"Polesian","polésien","polesio","Belarus, Poland, Ukraine","BRB, POL, UKR","","Vulnerable","","",800000,"Aleksandr D. Duličenko: Westpolesisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 581–587.",52,24,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL","BY","1","Brest"
"43",701,"Tamaceq","tamaceq","tamacheq tahoua","Mali","MLI","taq","Definitely endangered","Tamacheq, Tamasheq","",800000,"Official population figures, Local and international organisations
Numerous publications on background",17,-3,"Central, and northeast Mali, Kidal, Tombouctou areas. 
Also spoken in Algeria, Burkina Faso
","ML","8","Timbuktu"
"44",1069,"Avar","avar","avar","Russian Federation","RUS","ava","Vulnerable","","",784840,"",42,47,"parts of the Republic of Daghestan","RU","17","Kina"
"45",1211,"Mundari","mundari","mundarí","India","IND","muw","Vulnerable","Horo","",750000,"",22,86,"Jharkhand, mainly in  Ranchi Dt.; some speakers in Madhya Pradesh","IN","38","Badia"
"46",425,"Welsh","gallois","galés","United Kingdom of Great Britain and Northern Ireland","GBR","cym","Vulnerable","y Gymraeg","Cymraeg",750000,"T. Arwyn Watkins: Welsh. — The Celtic languages. Edited by Martin J. Ball with James Fife. London and New York: Routledge, 1993. 289–348.",52,-4,"Wales and adjacent parts of England; émigré communities in Patagonia","GB","X7","Llanelli"
"47",1202,"Angika","angika","anga","India, Nepal","IND, NPL","anp","Vulnerable","Chhika-Chhiki; Anga; Aangi; Bhagalpuri","",740892,"",25,85,"Bihar and Jharkhand","IN","34","Arai"
"48",1827,"Q'eqchi' (Guatemala)","q’eqchi' (Guatemala)","cachí (Guatemala)","Guatemala","GTM","kek","Vulnerable","K'eqchí, Ketchí, Cacché, Quecchí","",716101," XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for several locations.",15,-90,"Uspantán, Cobán, Panzós, Senahú, San Pedro Carchá, San Juan Chamelco, Lanquín, Cahabón, Chisec, Chahal, San Luis Sayaxché, El Estor, Livingston","GT","22","Reforma"
"49",398,"Picard","picard","picardo","Belgium, France","BEL, FRA","pcd","Severely endangered","ch’ti, ch’timi, rouchi","",700000,"Jean-Michel Eloy: Le picard, langue d'oïl http://www.encyclopedie.picardie.fr/index.php/Le_picard,_langue_d%27o%C3%AFl",50,3,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium","FR","B4","Douai"
"50",1228,"Kokborok","kokborok","kok borok","Bangladesh, India","BGD, IND","trp","Vulnerable","Tripuri","",695000,"",24,92,"Triupura, and Karimjang Dt. of Assam","IN","26","Dharmanagar"
"51",415,"Basque","basque","euskera","Spain, France","ESP, FRA","eus","Vulnerable","","euskara",660000,"R. L. Trask: The history of Basque. London: Routledge, 1997. | José Ignacio Hualde & Jon Ortiz de Urbina: A grammar of Basque. Mouton Grammar Library 26; Berlin: Mouton de Gruyter, 2003.",43,-2,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France","ES","32","Urdi�in"
"52",1065,"Kabard-Cherkes","kabarde-tcherkesse","kabardái","Russian Federation, Turkey","RUS, TUR","kbd","Vulnerable","Kabardian","",650000,"Wolfgang Schulze: Kabardinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 861–867.",44,43,"the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East","RU","70","Svobody"
"53",1559,"Mandeali","mandeali","mandeali","India","IND","mjl","Definitely endangered","Mandi; Mandiali; Pahari Mandiyali","",611930,"",31,77,"Himachal Pradesh","IN","5","Chandigarh"
"54",353,"Friulian","frioulan","friulano","Italy","ITA","fur","Definitely endangered","","",600000,"",46,13,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in émigré communities in Romania and elsewhere","IT","6","Latisana"
"55",997,"Quechua of Ancash and Huánuco","quechua d'Ancash et Huánuco","quechua de Ancash y de Huánuco","Peru","PER","qec, qed, qee, qan, qei, qub, qej, qel, qem","Definitely endangered","Quechua, Nunashimi. Quechua Ancash-Huánuco. Huaylas Quechua.","",600000,"",-9,-77,"Zona central del Perú, departamentos de  Ancash Y Huánuco.","PE","2","Pomabamba"
"56",1947,"Walloon","wallon","valón","Belgium, France, Luxembourg","BEL, FRA, LUX","wln","Definitely endangered","","",600000,"",50,5,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s","BE","7","Moustier"
"57",1091,"Mising","mising","mising","India","IND","mrg","Definitely endangered","Miri, Mishing, Miri-Mishing","",550000,"",27,94,"Assam, mostly Lakhimpur, Sonitpur and Dhemaji districts; some speakers also live across the border in Arunachal Pradesh
","IN","3","Golaghat"
"58",1066,"Ossete","ossète","osético","Georgia, Russian Federation","GEO, RUS","oss","Vulnerable","Ossetic","",550000,"З. Г. Исаева & М. И. Исаев: Осетинский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.
",43,44,"North Ossetia and South Ossetia","RU","68","Nort"
"59",1230,"Mizo","mizo","lushai","India","IND","lus","Vulnerable","Lushai","",529000,"",23,93,"throughout Mizoram; Manipur, Churachandpur Dt. Also spoken in Burma","IN","31","Serchhip"
"60",1070,"Dargwa","dargwa","dargínico","Russian Federation","RUS","dar","Vulnerable","","",503523,"",42,47,"parts of the Republic of Daghestan","RU","17","Kina"
"61",331,"Aromanian","aroumain","arrumano","Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB","rup","Definitely endangered","Macedo-Romanian; Vlach; Tsintsar","",500000,"Petar Atanasov: Aromunisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 77-82.
http://www.ethnologue.org/show_language.asp?code=rup
",40,21,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niš and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania","GR","22","P�fki"
"62",2485,"Brahui","brahui","birahuí","Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG","brh","Vulnerable","","",500000,"Dr. George van Driem in Encyclopaedia of World Endangered Languages, ed. by Christopher Moseley. 2007",29,67,"Kalat district and parts of Hyderabad, Karachi and Khairpur districts; also small communities in Afghanistan and Iran",NA,NA,NA
"63",375,"Languedocian","languedocien","languedociano","France","FRA","oci","Severely endangered","occitan languedocien; langadocian","lengadocian",500000,"",44,3,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds","FR","B3","Rodez"
"64",1072,"Lezgian","lezghien","lezguio","Azerbaijan, Russian Federation","AZE, RUS","lez","Vulnerable","","",500000,"У. А. Мейланова: Лезгинский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.",41,48,"southern Daghestan in the Russian Federation; northern Azerbaijan","AZ","25","Bank"
"65",1558,"Mahasui","mahasui","paharí mahasu","India","IND","bfz","Definitely endangered","Kiunthali; Kiuntali","",496024,"",31,77,"Himachal Pradesh","IN","5","Chandigarh"
"66",1118,"Magar","magar","magarí","Nepal","NPL","mgp, mrd","Definitely endangered","मगर; Manggar; Magari","",489383,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28,83,"Pālpā, Syāṅjā, Tanahũ and Gorkhā districts.","NP","0","Bhairawa"
"67",1822,"Mam (Guatemala)","mam (Guatemala)","mam (Guatemala)","Guatemala","GTM","","Vulnerable","","",477717,"XI Censo Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations",15,-92,"Towns of Tejumulco and Ichiguán in Huehuetenango; towns of San Miguel Ixtahuacán, Concepción Tutapa and others in
San Marcos dept; San Sebastián, town of Todos Santos Cuchumatán and other towns in Huehuetenango dept., Quetzaltenango dept., Retalhuleu dept, San Juan Ostuncalco, San Martín Sacatepequez and other towns in Ostuncalco","MX","5","Motozintla"
"68",418,"Udmurt","oudmourte","votiaco","Russian Federation","RUS","udm","Definitely endangered","","",463837,"Sandor Csucs: Udmurt. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 276–304.",57,53,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Perm’ provinces","RU","80","Izhevsk"
"69",1506,"Huasteca Náhuatl","náhuatl du Huasteca","nahua de la Huasteca","Mexico","MEX","nhe","Vulnerable","Mexicano","",463183,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)",21,-99,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayán, Coxcatlán, and others in the state of San Luis Potosí; municipalities of Platón Sánchez, Chicontepec, Álamo, Ixhuatlán de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacán de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlán in the state of Hidalgo","MX","13","Zimap�n"
"70",1074,"Kumyk","koumyk","kumyko","Russian Federation","RUS","kum","Vulnerable","","",458121,"Л. С. Левитская: Кумыкский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 319–327.",43,47,"parts of the Republic of Daghestan","RU","17","Assa"
"71",508,"Yakut","yakoute","yakuto","Russian Federation","RUS","sah","Vulnerable","Sakha","",456288,"Н. К. Антонов: Якутский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997.",62,131,"the Republic of Sakha (Yakutia)","RU","63","Khocho"
"72",1801,"Kaqchikel (Guatemala)","kaqchikel (Guatemala)","cachiquel (Guatemala)","Guatemala","GTM","","Vulnerable","","",444954,"XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations",15,-91,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepéquez department; San Martín in municipality of Jilotepeque; Chimaltenango in municipality of Santa María de Jesús, Santo Domingo Xenacoj, Antigua, department of Sololá","GT","7","Guatemala City"
"73",1165,"Karbi","karbi","miquirés","India","IND","mjw","Vulnerable","Mikir","",420000,"",26,93,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur.","IN","3","Raha"
